Location;Participants;Cost
Roosevelt Island, Manhattan;Ant-Man, Aquaman, Black Panther, Doctor Strange, Green Lantern, Robin, Zatanna vs. Blue Beetle, Conan the Barbarian, Green Arrow, Kamandi, Ray;$5000
Belmont, Bronx;Tim Drake vs. Aquaman, Iron Man, Judomaster, Raven, Rorschach;$0
Downtown Brooklyn, Brooklyn;Bruce Wayne, Supergirl vs. Asterix, Avengers, Defenders, Ozymandias, Sub-Mariner, Vixen;$13000
Brooklyn Heights, Brooklyn;Ozymandias vs. Hal Jordan;$1000
Koreatown, Manhattan;Batman, Supergirl vs. Captain America, Static Shock, Wonder Woman;$7000
Morningside Heights, Manhattan;Animal Man, Captain Metropolis, Guardians of the Galaxy, Orin vs. Conan the Barbarian, Green Lantern, Teenage Mutant Ninja Turtles;$8000
Downtown Brooklyn, Brooklyn;Bronze Tiger, Lagoon Boy, Poison Ivy vs. Asterix;$3000
Alphabet City, Manhattan;Batgirl, Black Canary, Conan the Barbarian, Ghost Rider, Vixen vs. Black Panther, Captain America, Catwoman, Incredible Hulk, Lagoon Boy, Sub-Mariner;$2000
Pelham Gardens, Bronx;Atom, Avengers, Aztec, Conan the Barbarian, Guardians of the Galaxy, Impulse, Jonah Hex, Kamandi, Kate Spencer, Krypta, Vixen vs. Beast Boy;$6000
Bushwick, Brooklyn;Misfit vs. Agent Liberty, Atom, Batwoman, Black Canary, Iron Man, Plastic Man, Robin, Stephanie Brown;$8000
Brooklyn Heights, Brooklyn;Batwoman, Black Canary, Shadow, Spider-Man vs. Batman, Captain America, Guardians of the Galaxy, Kate Spencer, Ozymandias, Stephanie Brown, Wasp, Zatara;$12000
Meatpacking District, Manhattan;Lagoon Boy vs. Animal Man, Iron Man, Mas y Menos, Owlman, Superman, X-Men;$5000
Park Slope, Brooklyn;Aquaman, Asterix, Avengers, Conan the Barbarian, Doc Savage, Mr. Terrific, Shadow, Starfire vs. Marvelman, Vigilante;$6000
SoHo, Manhattan;Ghost Rider, Rocketeer, Shadow, Wonder Woman vs. Black Panther, Captain America, Conan the Barbarian, Karate Kid;$15000
Washington Heights, Manhattan;Dick Grayson, Ray vs. Asterix, Kate Spencer, Robin, Wonder Girl;$2000
Upper West Side, Manhattan;Captain America, Oracle, Poison Ivy vs. Conan the Barbarian, Elektra, Ghost Rider, Marvelman, Nightwing, Orin, Supergirl, Wasp, Zatanna;$0
Lenox Hill, Manhattan;Black Panther, Green Arrow, Lagoon Boy, Rocketeer vs. Ant-Man, Conan the Barbarian, Owlwoman, Plastic Man;$8000
Greenpoint, Brooklyn;Kate Spencer, Starfire vs. Avengers, Huntress, Marvelman;$7000
Meatpacking District, Manhattan;Atom, Batgirl, Guardians of the Galaxy, Nightwing, Tiger vs. Owlman;$12000
Flatiron District, Manhattan;Doc Savage vs. Kid Flash, Orin;$3000
Coney Island, Brooklyn;Batman, Bronze Tiger, Doctor Strange vs. Aquaman, Asterix, Aztec, Fire, Green Lantern, Guardians of the Galaxy, Karate Kid, Metamorpho, Robin, S.T.R.I.P.E., Shining Knight, Supergirl, Wasp, Zatanna;$7000
Greenpoint, Brooklyn;Ghost Rider, Incredible Hulk, Kamandi, Lagoon Boy, S.T.R.I.P.E., Tiger vs. Avengers, Batgirl, Damian Wayne, Defenders, Dick Grayson, Green Lantern, Guardians of the Galaxy, Hal Jordan, Karate Kid, Mas y Menos, Miss Martian, Mr. Terrific, Nightwing, Rocketeer, Stephanie Brown, Teenage Mutant Ninja Turtles, Terry McGinnis, Wolverine, Zatara;$10000
Williamsburg, Brooklyn;Plastic Man, Spider-Man vs. Incredible Hulk, X-Men;$2000
Roosevelt Island, Manhattan;Huntress vs. Aquaman;$1000
Downtown Brooklyn, Brooklyn;Watchmen vs. Black Panther, Calendar Man, Fire, Marvelman, Plastic Man, Zatanna;$1000
Tribeca, Manhattan;Superman vs. Elektra;$4000
Lenox Hill, Manhattan;Black Canary, Iron Man, Kate Spencer, Robin, Shadow, Starfire, Wonder Woman vs. Agent Liberty, Ant-Man, Batman, Captain America, Guardians of the Galaxy, Hellboy, Marvelman, Odin, Ozymandias, Star-Spangled Kid, Sub-Mariner, Wasp, Zatanna, Zatara;$78000
Meatpacking District, Manhattan;Black Canary, Fire, Jonah Hex, Wonder Woman vs. Huntress, Iron Man, Ozymandias, Rocketeer, Zatanna;$8000
Little Italy, Manhattan;Ant-Man vs. Batman, Comedian, Green Lantern, Guardians of the Galaxy, Zatara;$0
Crown Heights, Brooklyn;Aisha, Black Canary, Incredible Hulk, Owlman, Ridder, Rorschach, Speedy vs. Teenage Mutant Ninja Turtles, Vixen;$7000
Jackson Heights, Queens;Captain America, Catwoman, Daredevil, Elektra, Guardians of the Galaxy, Huntress, Incredible Hulk, Oracle, Ozymandias, Ridder, Spider-Man vs. Batman, Wonder Woman;$7000
Little Italy, Manhattan;Incredible Hulk vs. Arsenal, Aztec, Bruce Wayne, Gypsy, Starfire, Superman, Zatanna, Zatara;$3000
Upper West Side, Manhattan;Poison Ivy vs. Atom, Flash, Mr. Terrific;$4000
Little Italy, Manhattan;Doctor Strange, Static Shock vs. X-Men;$1000
Long Island City, Queens;Batman vs. Ant-Man, Guardians of the Galaxy, Solomon Grundy, X-Men;$0
Morningside Heights, Manhattan;Asterix, Black Panther, Bruce Wayne, Calendar Man, Conan the Barbarian, Defenders, Ghost Rider, Green Lantern, Hawkeye, Jonah Hex, Kid Flash, Marvelman, Miss Martian, Odin, Star-Spangled Kid, Supergirl, Superman, Teenage Mutant Ninja Turtles, Watchmen vs. Aquaman, Batwoman, Kate Spencer, Krypta;$26000
Castle Hill, Bronx;Elektra, Plastic Man, Robin vs. Avengers, Bruce Wayne;$5000
Long Island City, Queens;Batman, Hal Jordan vs. Elektra, Ghost Rider, Wasp, Watchmen;$4000
Greenpoint, Brooklyn;Avengers, Batman vs. Hal Jordan, Hellboy;$3000
Lenox Hill, Manhattan;Avengers, Lagoon Boy vs. Ant-Man, Hawkeye, Incredible Hulk;$1000
East Village, Manhattan;Ant-Man vs. Aztec, Batgirl, Impulse, Raven;$6000
Little Italy, Manhattan;Ant-Man, Avengers, Raven vs. Catwoman, Starfire, Wolverine;$7000
Morningside Heights, Manhattan;Avengers, Black Canary, Conan the Barbarian, Cyborg, Green Arrow, Hellboy, Supergirl vs. Ant-Man, Black Panther, Captain America, Cassandra Cain, Guardians of the Galaxy, Plastic Man, Starfire;$4000
Brooklyn Heights, Brooklyn;Asterix, Owlman, Rocketeer vs. Captain America, Jonah Hex;$7000
Meatpacking District, Manhattan;Ant-Man, Aztec, Teenage Mutant Ninja Turtles vs. Avengers, Batwoman, Captain America, Daredevil, Elektra, Hal Jordan, Huntress, Iron Man, Ridder, Rocketeer, Wonder Woman, Zatanna;$26000
Gramercy Park, Manhattan;Ant-Man, Bruce Wayne, Catwoman, Poison Ivy, Superman vs. Aquaman, Hawkeye, Incredible Hulk, Kamandi, Kid Flash, Phantom Lady, S.T.R.I.P.E.;$5000
Flatiron District, Manhattan;Black Canary, Captain America, Conan the Barbarian, Mr. Terrific vs. Catwoman, John Stewart, Ridder, Wolverine;$11000
Port Morris, Bronx;Shining Knight vs. Gypsy, Robin, Starfire, Stephanie Brown;$16000
Lenox Hill, Manhattan;Asterix, Doc Savage, X-Men vs. Aquaman, Kamandi, Superman;$4000
Castle Hill, Bronx;Avengers, Daredevil, Marvelman vs. Catwoman;$0
Nolita, Manhattan;Fire, Rocketeer vs. Conan the Barbarian, Hawkeye, Krypta, Wolverine, Zatanna;$6000
Tribeca, Manhattan;Black Canary, Bronze Tiger, Dollar Bill, Kid Flash, Metamorpho, Teenage Mutant Ninja Turtles vs. Ant-Man, Avengers, Bruce Wayne, Flash, Nightwing;$23000
Port Morris, Bronx;Green Lantern, Pantha, Superman, Tim Drake vs. Starfire, Xera;$2000
Chinatown, Manhattan;Daredevil, Iron Man, Supergirl, Watchmen vs. Vixen, Zatanna;$2000
Gramercy Park, Manhattan;Bruce Wayne, Guardians of the Galaxy, Robin vs. Agent Liberty, Avengers, Batman, Captain America, Terra, Zatanna;$0
Brooklyn Heights, Brooklyn;Zatanna vs. Cassandra Cain, Conan the Barbarian, Flash, Robin, Wonder Woman;$2000
Lenox Hill, Manhattan;Batgirl, Mas y Menos vs. Calendar Man, Captain America, Daredevil;$3000
Fordham, Bronx;Catwoman, Hal Jordan, Watchmen vs. Animal Man, Spider-Man, Wonder Woman;$1000
Nolita, Manhattan;Dr. Manhattan, Huntress, Wildcat vs. Aquaman, Orin;$4000
Lower East Side, Manhattan;Dick Grayson, Elektra, Owlman, Wasp, Wonder Girl vs. Agent Liberty, Animal Man, Avengers, Daredevil, Kamandi, Lagoon Boy, Ray, V;$20000
Castle Hill, Bronx;Owlman vs. Atom, Avengers, Doc Savage, Marvelman;$8000
Lenox Hill, Manhattan;Iron Man, Stephanie Brown vs. S.T.R.I.P.E.;$3000
Nolita, Manhattan;Marvelman vs. Aztec, Kate Spencer, Mas y Menos, Mr. Terrific;$15000
Crown Heights, Brooklyn;Doc Savage, Wonder Woman vs. Batgirl, Captain Metropolis, Dollar Bill, Gangbuster, Teenage Mutant Ninja Turtles;$8000
Roosevelt Island, Manhattan;Ozymandias, V, Wonder Woman, Zatanna vs. Agent Liberty, Black Canary, Green Lantern, Ray, Shadow;$5000
Lenox Hill, Manhattan;Judomaster vs. Black Canary, Catwoman, Hal Jordan, Orin;$0
Upper West Side, Manhattan;Black Canary, Doctor Strange, Kid Flash, Starfire, Zatanna vs. Rorschach;$4000
Tribeca, Manhattan;Agent Liberty, Owlwoman, Superman vs. Ant-Man, Batwoman, Hank Hall, Spider-Man;$5000
SoHo, Manhattan;Defenders, Kate Spencer vs. Black Panther;$2000
Nolita, Manhattan;Teenage Mutant Ninja Turtles vs. Avengers, Captain America, Watchmen;$0
Lenox Hill, Manhattan;Asterix, Batman, Cyborg, Guardians of the Galaxy, Jericho, Kamandi, Miss Martian, Plastic Man, Stephanie Brown vs. Catwoman, Owlman;$28000
Washington Heights, Manhattan;Conan the Barbarian vs. Miss Martian;$1000
East Village, Manhattan;Batwoman, Black Canary vs. Agent Liberty;$2000
Flatbush, Brooklyn;Gypsy, Karate Kid, Krypta, Teenage Mutant Ninja Turtles vs. Avengers, Batwoman, Bruce Wayne;$11000
Greenpoint, Brooklyn;Avengers, Batman, Cassandra Cain, Defenders, Doc Savage, Ghost Rider, Guardians of the Galaxy, Incredible Hulk, Kid Flash, Owlman, Ozymandias, Supergirl, Wolverine vs. Nightwing;$4000
East Harlem, Manhattan;Defenders, Lagoon Boy, Rocketeer vs. Batman, Impulse, Ozymandias, Teenage Mutant Ninja Turtles;$11000
Morningside Heights, Manhattan;Zatanna vs. Catwoman, Ghost Rider, Ridder, Supergirl, Vixen;$5000
Midtown, Manhattan;Asterix, Black Canary, Daredevil, Green Lantern, Phantom Lady vs. Batman, Superman;$1000
Crown Heights, Brooklyn;Shadow, Stephanie Brown vs. Ant-Man, Static Shock, Vixen;$6000
Midtown, Manhattan;Black Panther, X-Men vs. Aisha, Black Canary, Shadow;$0
Greenpoint, Brooklyn;Black Canary, Ghost Rider vs. Ant-Man, Avengers, Bronze Tiger, Damian Wayne, Shadow, Sub-Mariner;$5000
Greenwich Village, Manhattan;Defenders vs. Guardians of the Galaxy;$1000
Belmont, Bronx;Booster Gold vs. Asterix, Atom, Batgirl, Phantom Lady, Shining Knight, Watchmen;$2000
Upper East Side, Manhattan;Ant-Man vs. Incredible Hulk;$1000
Upper East Side, Manhattan;Damian Wayne, Tim Drake vs. Owlman, Teenage Mutant Ninja Turtles;$1000
East Village, Manhattan;Rocketeer, Shadow vs. Green Arrow;$4000
East Village, Manhattan;Batwoman, Catwoman, Marvelman, Power Girl, Speedy vs. Green Arrow;$0
Brooklyn Heights, Brooklyn;Ant-Man, Gypsy, Hal Jordan, Incredible Hulk, Mr. Terrific, Ozymandias, Phantom Lady, Shadow, Wolverine vs. Thor;$10000
Washington Heights, Manhattan;Agent Liberty, Aisha, Captain Metropolis, Defenders, Green Lantern, Iron Fist, Ridder, Teenage Mutant Ninja Turtles, V vs. Black Canary, Constantin, Doc Savage, Guardians of the Galaxy, Jonah Hex, Marvelman, Supergirl, Superman;$24000
Hell's Kitchen, Manhattan;Atom vs. Ridder;$2000
Greenpoint, Brooklyn;Superman vs. Lagoon Boy, Rocketeer, Supergirl;$1000
East Village, Manhattan;Aquaman, Catwoman, Rocket vs. Asterix, Batwoman, Elektra, Incredible Hulk, Rocketeer, Starfire;$7000
Morningside Heights, Manhattan;Avengers, Black Canary, Incredible Hulk, Krypta, Ridder, Shadow, Teenage Mutant Ninja Turtles, Wasp vs. Adam Strange, Aquaman, Atom, Batman, Batwoman, Captain America, Defenders, Doc Savage, Doctor Strange, Ghost Rider, Guardians of the Galaxy, Oracle, Plastic Man, Power Girl, Robin;$45000
Downtown Brooklyn, Brooklyn;Batwoman, Captain America vs. Aquaman, Raven, Robin, Wasp;$2000
Roosevelt Island, Manhattan;Marvelman, Vixen vs. Hal Jordan, Kate Spencer;$2000
Chinatown, Manhattan;Doc Savage, Lagoon Boy vs. Ant-Man, Aquaman, Avengers, Black Canary, Calendar Man, Orin, Plastic Man, Raven;$5000
East Harlem, Manhattan;Daredevil, Defenders, Impulse, Incredible Hulk, Kid Flash, Orin, Plastic Man, Starfire, Vixen, X-Men vs. Ant-Man, Avengers;$13000
Greenpoint, Brooklyn;Teenage Mutant Ninja Turtles vs. Catwoman, Marvelman, Plastic Man;$10000
Flatiron District, Manhattan;Batgirl, Ridder vs. Jericho;$0
Upper East Side, Manhattan;Ant-Man, Hawkgirl vs. Aquaman, Captain America, Doc Savage, Hawkeye, Lagoon Boy, Oracle, Sub-Mariner, Watchmen, Wonder Woman, Zatanna;$1000
Union Square, Manhattan;Black Canary, Poison Ivy, Zatanna vs. Green Arrow, Mas y Menos;$2000
Flatbush, Brooklyn;Gangbuster vs. Iron Man;$1000
Little Italy, Manhattan;Animal Man, Atom, Elongated Man, Marvelman, Poison Ivy, Red Arrow, Shining Knight vs. Damian Wayne, Daredevil, Vixen, Wasp;$22000
Crown Heights, Brooklyn;Avengers, Poison Ivy vs. Atom;$0
Belmont, Bronx;Guardians of the Galaxy, Solomon Grundy vs. Wasp;$3000
Gramercy Park, Manhattan;Captain America, Judomaster vs. Batwoman, Bruce Wayne, Lagoon Boy, Plastic Man, Rocketeer, Wonder Woman;$8000
Roosevelt Island, Manhattan;Ant-Man, Black Canary, Huntress, Sub-Mariner vs. Asterix, Daredevil;$8000
Nolita, Manhattan;Agent Liberty, Asterix, Defenders, Huntress, Kate Spencer, Krypta vs. Avengers, Beast Boy, Lagoon Boy, Raven, Teenage Mutant Ninja Turtles, X-Men;$10000
Roosevelt Island, Manhattan;Ant-Man, Asterix, Constantin, Fire, Marvelman, Ozymandias, Plastic Man vs. Robin;$9000
Meatpacking District, Manhattan;Batwoman, Damian Wayne, Marvelman, Mr. Terrific, Nightwing, Ray, Watchmen vs. Ant-Man, Robin;$3000
Downtown Brooklyn, Brooklyn;Ant-Man, Captain America, Cassandra Cain, Jonah Hex, Owlwoman, Rocket Red, Teenage Mutant Ninja Turtles, Vigilante, Wasp, Wonder Woman, Zatanna vs. Conan the Barbarian, Marvelman, Nightwing, Raven, Rocketeer;$1000
SoHo, Manhattan;Asterix, Beast Boy, Orin, Plastic Man, Watchmen, Zatara vs. Ant-Man, Black Panther, Bronze Tiger, Captain America, Captain Marvel, Ghost Rider, Guardians of the Galaxy, Gypsy, Rocketeer, Starfire;$1000
Upper East Side, Manhattan;Hank Hall vs. Bruce Wayne;$3000
Koreatown, Manhattan;Conan the Barbarian, Shining Knight vs. Incredible Hulk, Lagoon Boy, Owlwoman, Supergirl;$2000
Morningside Heights, Manhattan;Agent Liberty, Incredible Hulk, Spider-Man, Zatanna vs. Black Canary, Kid Flash, Sub-Mariner, Supergirl, Watchmen;$2000
Crown Heights, Brooklyn;Black Canary vs. Misfit, Plastic Man;$3000
Meatpacking District, Manhattan;Atom, Beast Boy, Captain America, Ozymandias, Shining Knight, Static Shock, Supergirl, Wolverine vs. Constantin, Elektra, Karate Kid, Lagoon Boy, Rocketeer, Shadow;$31000
Financial District, Manhattan;Nightwing, Solomon Grundy, Vixen vs. Batwoman, Black Panther, Conan the Barbarian;$0
Castle Hill, Bronx;Ant-Man vs. Calendar Man, Impulse, Iron Man, Rocketeer;$4000
Coney Island, Brooklyn;Judomaster vs. Artemis;$1000
Meatpacking District, Manhattan;Guardians of the Galaxy, Kate Spencer vs. Black Canary, Green Arrow, Hawkeye;$0
Upper East Side, Manhattan;Aquaman, Asterix, Iron Fist, Rocketeer vs. Ghost Rider, Green Lantern;$14000
Pelham Gardens, Bronx;Avengers, Aztec, Batwoman, Black Canary, Rorschach, Wolverine, X-Men, Zatanna vs. Green Lantern;$18000
Downtown Brooklyn, Brooklyn;Bruce Wayne, Defenders vs. Batwoman, Conan the Barbarian;$1000
Lenox Hill, Manhattan;Black Panther, Defenders, Doctor Strange, Teenage Mutant Ninja Turtles vs. Conan the Barbarian, Huntress, Lagoon Boy, Marvelman, Moth Man, Solomon Grundy;$3000
Hell's Kitchen, Manhattan;Conan the Barbarian, Guardians of the Galaxy, Hellboy, Mas y Menos, Mr. Terrific, Thor, Zatanna vs. Elektra;$3000
Upper East Side, Manhattan;Constantin vs. Atom, Doctor Strange, Green Lantern;$2000
Greenpoint, Brooklyn;Stephanie Brown vs. Incredible Hulk;$1000
Upper West Side, Manhattan;Black Canary vs. Animal Man, Batwoman, Incredible Hulk, Mr. Terrific, Wasp, X-Men, Zatara;$14000
Flatbush, Brooklyn;Iron Man vs. Black Panther, Mary Marvel, X-Men;$1000
Flatbush, Brooklyn;Cassandra Cain vs. Mr. Terrific;$0
Brooklyn Heights, Brooklyn;Avengers, Catwoman, Dick Grayson vs. Guardians of the Galaxy;$3000
Morningside Heights, Manhattan;Iron Man, Owlman vs. Aztec, Captain America, Carol Danvers, Incredible Hulk, Kamandi, Krypta, Orin, Sub-Mariner, Vigilante, Watchmen, Wolverine;$5000
East Harlem, Manhattan;Agent Liberty, Atom, Batgirl, Black Panther, Conan the Barbarian vs. Ant-Man, Calendar Man, Mas y Menos, Robin;$4000
Roosevelt Island, Manhattan;Superman vs. Sub-Mariner;$0
Nolita, Manhattan;Black Canary, Daredevil, Iron Man, Mr. Terrific vs. Captain America, Catwoman, Conan the Barbarian, Hawkeye, Incredible Hulk, Kamandi, Rocketeer;$4000
Little Italy, Manhattan;Animal Man, Batgirl, Doctor Strange, Incredible Hulk vs. Mr. Terrific;$3000
Sunset Park, Brooklyn;Ant-Man, Incredible Hulk, Mas y Menos, Starfire vs. Aquaman, Elektra, Kamandi, Wasp;$3000
Lenox Hill, Manhattan;Teenage Mutant Ninja Turtles vs. Agent Liberty, Superman;$4000
Upper West Side, Manhattan;Cassandra Cain, Gypsy, Incredible Hulk, Shining Knight vs. Doc Savage, Rocket Red;$10000
Flatbush, Brooklyn;Ant-Man, Constantin, Ghost Rider, Spider-Man, Sub-Mariner, Superman, V, Wolverine, X-Men vs. Aisha, Black Panther, Elektra, Impulse, Mr. Terrific, Orin, Raven;$6000
Roosevelt Island, Manhattan;Power Girl vs. Wasp, Watchmen;$1000
Belmont, Bronx;Adam Strange, Captain America, Hal Jordan, Owlman, Robin, Supergirl, Vixen, Wasp, Wolverine, Xera, Zatanna vs. Avengers, Conan the Barbarian, Damian Wayne, Krypta, Plastic Man, Poison Ivy;$9000
Tribeca, Manhattan;Catwoman, Conan the Barbarian vs. Daredevil, Wildcat;$4000
Upper East Side, Manhattan;Catwoman, X-Men vs. Batwoman, Vixen;$3000
Bushwick, Brooklyn;Defenders, Green Arrow vs. Wonder Woman, Zatara;$7000
Lenox Hill, Manhattan;Conan the Barbarian, Ghost Rider, Kamandi, Rocketeer, Teenage Mutant Ninja Turtles vs. Spider-Man, Wolverine, Zatara;$5000
Gramercy Park, Manhattan;Red Arrow vs. Batgirl;$0
Gramercy Park, Manhattan;Ant-Man, Cyborg, Rocketeer, Teenage Mutant Ninja Turtles vs. Power Girl;$4000
Greenpoint, Brooklyn;Ant-Man vs. Avengers, Black Panther, Captain America;$5000
East Harlem, Manhattan;Aquaman vs. Avengers, Black Panther, Plastic Man, Ray, Wasp, Zatanna;$4000
Morningside Heights, Manhattan;Agent Liberty, Atom, Elektra, Vixen vs. Captain Metropolis, Nightwing, Raven;$3000
Greenpoint, Brooklyn;Calendar Man, Lagoon Boy vs. Conan the Barbarian, Teenage Mutant Ninja Turtles;$4000
East Village, Manhattan;Plastic Man, Starfire, Supergirl, Wonder Woman vs. Robin, Shadow, Teenage Mutant Ninja Turtles;$3000
Upper East Side, Manhattan;Batman, Captain Marvel, Huntress vs. Karate Kid, Supergirl;$6000
Greenpoint, Brooklyn;Kate Spencer vs. Avengers, Batgirl, Batwoman, Black Canary, Bruce Wayne, Conan the Barbarian, Elektra, Ghost Rider, Marvelman, Solomon Grundy, Starfire, Terry McGinnis;$11000
Brooklyn Heights, Brooklyn;Ant-Man, Arsenal, Black Canary, Elektra, Gypsy, Katana, Wonder Woman vs. Avengers, Captain Marvel, Rocketeer, Static Shock;$11000
Greenpoint, Brooklyn;Captain Marvel, Daredevil, Elektra vs. Incredible Hulk, Thor, Wasp, Zatara;$6000
Greenwich Village, Manhattan;Hawkeye, Ozymandias, Rocketeer, Teenage Mutant Ninja Turtles vs. Nightwing, Owlwoman;$3000
Koreatown, Manhattan;Animal Man vs. Ant-Man, Gypsy, Ridder, Teenage Mutant Ninja Turtles;$0
Morningside Heights, Manhattan;Calendar Man, Guardians of the Galaxy, Kate Spencer, Rocketeer, Wildcat, Wonder Woman, Zatanna vs. Doc Savage, Iron Fist;$1000
Washington Heights, Manhattan;Teenage Mutant Ninja Turtles vs. Captain America, Zatanna;$0
Koreatown, Manhattan;Kamandi, Rocket Red vs. Batwoman, Cassandra Cain, Conan the Barbarian, Ghost Rider, Jonah Hex, Rocketeer, Superman, Teenage Mutant Ninja Turtles, Wonder Woman;$0
Chinatown, Manhattan;Shining Knight vs. Cassandra Cain, Raven;$2000
Castle Hill, Bronx;Incredible Hulk, Jericho vs. Terry McGinnis;$1000
Belmont, Bronx;Asterix, Lagoon Boy vs. Artemis, Atom, Vigilante;$3000
Carroll Gardens, Brooklyn;Cassandra Cain vs. Aquaman, Bronze Tiger, Incredible Hulk, Teenage Mutant Ninja Turtles;$14000
Koreatown, Manhattan;Ant-Man vs. Captain America, Daredevil, Doc Savage, Gypsy, Kate Spencer, Nightwing, Robin;$2000
Jackson Heights, Queens;Bruce Wayne, Hooded Justice vs. Batgirl;$2000
Williamsburg, Brooklyn;Elektra vs. Ant-Man, Catwoman, Doctor Strange, Hawkeye, Incredible Hulk, Wasp;$9000
Nolita, Manhattan;Agent Liberty, Animal Man, Aquaman, Artemis, Atom, Batman, Black Panther, Calendar Man, Catwoman, Doc Savage, Gangbuster, Green Arrow, Green Lantern, Guardians of the Galaxy, Hawkeye, Jericho, Kate Spencer, Sub-Mariner, Wolverine, X-Men, Xera, Zatara vs. Avengers, Elektra, Iron Fist, Mr. Terrific, Robin, Starfire, Supergirl, Zatanna;$17000
SoHo, Manhattan;Atom, Guardians of the Galaxy vs. Incredible Hulk, Miss Martian, Zatara;$6000
Nolita, Manhattan;Bruce Wayne, Conan the Barbarian, Marvelman, Shadow, Spider-Man, Sub-Mariner, Wolverine vs. Agent Liberty, Ghost Rider, Iron Man, Kate Spencer, Nightwing, V, X-Men;$9000
Little Italy, Manhattan;Aquaman, Batgirl, Damian Wayne, Green Arrow, Iron Man, Karate Kid, Nightwing, Shadow, Watchmen, X-Men vs. Owlwoman, Wasp;$21000
Little Italy, Manhattan;Wildcat vs. Ghost Rider, Owlman, Plastic Man;$1000
Washington Heights, Manhattan;Azrael, Lagoon Boy, Rocketeer vs. Hawkgirl, Mr. Terrific;$2000
Gramercy Park, Manhattan;Avengers, Terry McGinnis, Tiger, Zatara vs. Black Panther;$5000
Castle Hill, Bronx;Thor vs. Atom Smasher;$2000
Washington Heights, Manhattan;Artemis, Black Canary, Guardians of the Galaxy, Iron Fist, Miss Martian, Rocketeer, Zatanna vs. Batwoman, X-Men;$13000
SoHo, Manhattan;Elektra vs. Atom, Batman, Batwoman, Cassandra Cain, Iron Man, Jonah Hex, Marvelman, Robin, Rocketeer, Supergirl, Superman;$7000
Financial District, Manhattan;Superman vs. Iron Fist, Rocketeer, Wasp;$7000
Hell's Kitchen, Manhattan;Green Arrow, Hawkeye, Plastic Man, Spider-Man, Terry McGinnis vs. Stephanie Brown;$4000
SoHo, Manhattan;Aquaman, Atom, Lagoon Boy vs. Avengers, Captain Metropolis, Guardians of the Galaxy, Incredible Hulk, Supergirl;$0
Nolita, Manhattan;Gypsy, Ice, Iron Man, Robin vs. Vixen;$3000
Brooklyn Heights, Brooklyn;Ant-Man, Elektra, Iron Fist, Iron Man, Karate Kid, Krypta, Odin, Poison Ivy, Wasp vs. Agent Liberty, Defenders, Fire, Robin, Star-Spangled Kid;$5000
Morningside Heights, Manhattan;Catwoman, Judomaster, Orin, Ozymandias, Plastic Man, Ridder, Starfire, Supergirl, Teenage Mutant Ninja Turtles vs. Jericho;$12000
Koreatown, Manhattan;Aquaman vs. Avengers, Cyborg, Green Lantern, Lagoon Boy, Miss Martian, Rocketeer, Wasp, Zatara;$7000
Morningside Heights, Manhattan;Artemis, Atom, Bruce Wayne, Elektra, Gangbuster, Incredible Hulk, Ray vs. Robin;$2000
Tribeca, Manhattan;Aquaman, Asterix, Captain America, Defenders, Green Lantern, Lagoon Boy, Wasp, X-Men vs. Atom, Calendar Man, Hawkeye, Impulse, Incredible Hulk;$6000
Castle Hill, Bronx;Iron Fist, Karate Kid vs. Black Canary;$0
Brooklyn Heights, Brooklyn;Calendar Man, Captain America, Elektra, Green Lantern, Oracle, Plastic Man vs. Avengers, Defenders, Ghost Rider, Ozymandias, Robin, Rocketeer;$19000
Castle Hill, Bronx;Orin, Shadow, Vixen, Wolverine vs. Ant-Man, Calendar Man, Conan the Barbarian, Damian Wayne, Hal Jordan, Incredible Hulk, Owlman, Spider-Man, Supergirl, Superman;$4000
SoHo, Manhattan;Nightwing vs. Avengers, Captain America, Cassandra Cain, Doctor Strange, Green Lantern, Hawkeye, Ice, Incredible Hulk, Marvelman, Owlman, Poison Ivy, Rocketeer, Shadow, Superman;$23000
Meatpacking District, Manhattan;Oracle, Orin, Wolverine vs. Calendar Man;$4000
Sunset Park, Brooklyn;Avengers, X-Men vs. Batman, Elektra, Guardians of the Galaxy, Mary Marvel, Robin, Spider-Man, Wasp;$6000
Castle Hill, Bronx;Robin, Tiger vs. Guardians of the Galaxy, Iron Man, Kate Spencer, Wasp;$8000
Little Italy, Manhattan;Black Panther, Rocket, Rocketeer, Supergirl vs. Star-Spangled Kid;$0
Midtown, Manhattan;Plastic Man, Star-Spangled Kid vs. Daredevil, Judomaster, Kamandi, Orin, Ozymandias;$11000
Bedford Park, Bronx;Captain America, Cyborg, Krypta, Marvelman, Nightwing, S.T.R.I.P.E., Wasp vs. Doc Savage, Iron Man, Static Shock;$9000
Meatpacking District, Manhattan;Kamandi, Marvelman, Zatara vs. Elektra;$0
Flushing, Queens;Avengers, Doc Savage, Lagoon Boy vs. Impulse, Krypta, Star-Spangled Kid;$11000
Flatbush, Brooklyn;Judomaster vs. Ant-Man, Bronze Tiger;$1000
Meatpacking District, Manhattan;Batwoman, Captain Marvel, Starfire vs. Captain America, Lagoon Boy;$2000
East Village, Manhattan;Ant-Man, Asterix, Captain America, Catwoman, Kate Spencer, S.T.R.I.P.E., Tiger, Watchmen vs. Aquaman;$1000
Koreatown, Manhattan;Orin vs. Hank Hall, Ridder;$1000
